,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Calling My Phone","Lil Tjay",1429337,https://open.spotify.com/track/5Kskr9LcNYa0tpt5f0ZEJx
2,"drivers license","Olivia Rodrigo",1326058,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
3,Up,"Cardi B",970696,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
4,"Good Days",SZA,965555,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
5,"test drive","Ariana Grande",935109,https://open.spotify.com/track/3eZYOQO4UzKrUDYDghtnFw
6,"Save Your Tears","The Weeknd",895221,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
7,Streets,"Doja Cat",830429,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
8,"Blinding Lights","The Weeknd",753749,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
9,Whoopty,CJ,679109,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
10,34+35,"Ariana Grande",632811,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
11,"Mood (feat. iann dior)",24kGoldn,628853,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
12,"Levitating (feat. DaBaby)","Dua Lipa",600242,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
13,CLOUDS,NF,588698,https://open.spotify.com/track/5UMMPHPp6vRP6ghPpSUOzp
14,"WITHOUT YOU","The Kid LAROI",586094,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
15,"Best Friend (feat. Doja Cat)",Saweetie,571482,https://open.spotify.com/track/2etHQJxIbV0soyPhelVs9Y
16,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",563593,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
17,DÁKITI,"Bad Bunny",558312,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
18,positions,"Ariana Grande",551756,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
19,telepatía,"Kali Uchis",542753,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
20,"Heat Waves","Glass Animals",528285,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
21,"What You Know Bout Love","Pop Smoke",513758,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
22,"Back In Blood (feat. Lil Durk)","Pooh Shiesty",499925,https://open.spotify.com/track/7FGdjbZ32vMybPuP0IuE7d
23,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",499661,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
24,"Sweater Weather","The Neighbourhood",486584,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
25,"Laugh Now Cry Later (feat. Lil Durk)",Drake,483787,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
26,"Astronaut In The Ocean","Masked Wolf",475613,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
27,"CHICKEN TENDIES","Clinton Kane",466741,https://open.spotify.com/track/0awuNCj9gwJEM0seER22DW
28,"We're Good","Dua Lipa",460294,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
29,"Wasted On You","Morgan Wallen",457348,https://open.spotify.com/track/3cBsEDNhFI9E82vPj3kvi3
30,"WAP (feat. Megan Thee Stallion)","Cardi B",457209,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
